BBB Time,Weeks,Secs,,,,,,,,
02:22.3,2156,511870800,,,0.114583333,0.1,,,,
02:22.4,2156,511870900,,,0.114583333,0.1,,,,
02:22.5,2156,511871000,,,0.116898148,0.1,,,,
02:22.6,2156,511871100,,,0.113425926,0.1,,,,
02:22.7,2156,511871200,,,0.114583333,0.1,,,,
02:22.8,2156,511871300,,,0.114583333,0.1,,,,
02:22.9,2156,511871400,,,0.118055556,0.1,,,,
02:23.1,2156,511871500,,,0.155092593,0.1,,,,
02:23.1,2156,511871600,,,0.072916667,0.1,,,,
02:23.2,2156,511871700,,,0.114583333,0.1,,,,
02:23.3,2156,511871800,,,0.12037037,0.1,,,,
02:23.4,2156,511871900,,,0.109953704,0.1,,,,
02:23.5,2156,511872000,,,0.12037037,0.1,,,,
02:23.6,2156,511872100,,,0.112268519,0.1,,,,
02:23.7,2156,511872200,,,0.115740741,0.1,,,,
02:23.8,2156,511872300,,,0.112268519,0.1,,,,
02:23.9,2156,511872400,,,0.115740741,0.1,,,,
02:24.0,2156,511872500,,,0.114583333,0.1,,,,
02:24.1,2156,511872600,,,0.114583333,0.1,,,,
02:24.2,2156,511872700,,,0.114583333,0.1,,,,
02:24.3,2156,511872800,,,0.115740741,0.1,,,,
02:24.4,2156,511872900,,,0.114583333,0.1,,,,
02:24.5,2156,511873000,,,0.115740741,0.1,,,,
02:24.6,2156,511873100,,,0.113425926,0.1,,,,
02:24.7,2156,511873200,,,0.115740741,0.1,,,,
02:24.8,2156,511873300,,,0.114583333,0.1,,,,
02:24.9,2156,511873400,,,0.115740741,0.1,,,,
02:25.1,2156,511873500,,,0.157407407,0.1,,,,
02:25.1,2156,511873600,,,0.071759259,0.1,,,,
02:25.2,2156,511873700,,,0.115740741,0.1,,,,
02:25.3,2156,511873800,,,0.118055556,0.1,,,,
02:25.4,2156,511873900,,,0.115740741,0.1,,,,
02:25.5,2156,511874000,,,0.112268519,0.1,,,,
02:25.6,2156,511874100,,,0.118055556,0.1,,,,
02:25.7,2156,511874200,,,0.114583333,0.1,,,,
02:25.8,2156,511874300,,,0.115740741,0.1,,,,
02:25.9,2156,511874400,,,0.114583333,0.1,,,,
02:26.0,2156,511874500,,,0.112268519,0.1,,,,
02:26.1,2156,511874600,,,0.115740741,0.1,,,,
02:26.2,2156,511874700,,,0.113425926,0.1,,,,
02:26.3,2156,511874800,,,0.116898148,0.1,,,,
02:26.4,2156,511874900,,,0.114583333,0.1,,,,
02:26.5,2156,511875000,,,0.114583333,0.1,,,,
02:26.6,2156,511875100,,,0.114583333,0.1,,,,
02:26.7,2156,511875200,,,0.114583333,0.1,,,,
02:26.8,2156,511875300,,,0.115740741,0.1,,,,
02:26.9,2156,511875400,,,0.118055556,0.1,,,,
02:27.1,2156,511875500,,,0.15625,0.1,,,,
02:27.1,2156,511875600,,,0.070601852,0.1,,,,
02:27.2,2156,511875700,,,0.114583333,0.1,,,,
02:27.3,2156,511875800,,,0.115740741,0.1,,,,
02:27.4,2156,511875900,,,0.114583333,0.1,,,,
02:27.5,2156,511876000,,,0.115740741,0.1,,,,
02:27.6,2156,511876100,,,0.113425926,0.1,,,,
