BBB Time,Mag Vals,Lamor,,,
09:05.7,66422.586,378,,,0.115740741
09:05.8,66422.286,427,,,0.116898148
09:05.9,66424.213,386,,,0.115740741
09:06.0,66424.183,371,,,0.115740741
09:06.1,66424.334,388,,,0.115740741
09:06.2,66427.012,408,,,0.115740741
09:06.3,66426.892,405,,,0.116898148
09:06.4,66425.87,391,,,0.115740741
09:06.5,66428.819,408,,,0.115740741
09:06.6,66429.925,374,,,0.115740741
09:06.7,66429.029,378,,,0.116898148
09:06.8,66429.51,403,,,0.115740741
09:06.9,66430.29,376,,,0.115740741
09:07.0,66431.287,396,,,0.115740741
09:07.1,66429.96,400,,,0.115740741
09:07.2,66431.282,405,,,0.116898148
09:07.3,66431.557,396,,,0.115740741
09:07.4,66430.861,396,,,0.115740741
09:07.5,66430.531,415,,,0.115740741
09:07.6,66432.758,391,,,0.116898148
09:07.7,66431.647,403,,,0.115740741
09:07.8,66431.222,391,,,0.115740741
09:07.9,66432.608,417,,,0.115740741
09:08.0,66432.518,376,,,0.116898148
09:08.1,66433.119,415,,,0.115740741
09:08.2,66432.848,413,,,0.115740741
09:08.3,66432.638,378,,,0.115740741
09:08.4,66433.419,396,,,0.115740741
09:08.5,66433.484,396,,,0.116898148
09:08.6,66431.552,386,,,0.115740741
09:08.7,66435.436,381,,,0.115740741
09:08.8,66434.02,391,,,0.115740741
09:08.9,66433.299,444,,,0.116898148
09:09.0,66434.385,408,,,0.115740741
09:09.1,66435.827,393,,,0.115740741
09:09.2,66435.136,393,,,0.116898148
09:09.3,66434.02,381,,,0.115740741
09:09.4,66435.316,391,,,0.115740741
09:09.5,66434.445,410,,,0.115740741
09:09.6,66434.2,408,,,0.116898148
09:09.7,66435.797,405,,,0.115740741
09:09.8,66437.574,386,,,0.115740741
09:09.9,66436.157,383,,,0.115740741
09:10.0,66435.406,381,,,0.116898148
09:10.1,66436.247,427,,,0.115740741
09:10.2,66436.127,393,,,0.115740741
09:10.3,66436.102,408,,,0.115740741
09:10.4,66436.548,388,,,0.116898148
09:10.5,66436.067,388,,,0.115740741
09:10.6,66431.527,410,,,0.115740741
09:10.7,66436.127,396,,,0.116898148
09:10.8,66436.728,408,,,0.115740741
09:10.9,66436.518,408,,,0.115740741
09:11.0,66436.402,378,,,0.115740741
09:11.1,66435.256,400,,,0.116898148
09:11.2,66436.728,383,,,0.115740741
09:11.3,66437.544,378,,,0.115740741
09:11.4,66435.161,396,,,0.115740741
09:11.5,66435.617,391,,,0.116898148
09:11.6,66437.394,398,,,0.115740741
09:11.7,66436.608,403,,,0.115740741
09:11.8,66436.007,378,,,0.115740741
09:11.9,66436.372,393,,,0.116898148
09:12.0,66436.608,388,,,0.115740741
09:12.1,66437.273,386,,,0.115740741
09:12.2,66436.728,378,,,0.115740741
